Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            291  11A 0009E600 NtCreateJobObject
            292  11B 0009E620 NtCreateJobSet
            293  11C 0009D3F0 NtCreateKey
            294  11D 0009E640 NtCreateKeyTransacted
            295  11E 0009E660 NtCreateKeyedEvent
            296  11F 0009E680 NtCreateLowBoxToken
            297  120 0009E6A0 NtCreateMailslotFile
            298  121 0009E6C0 NtCreateMutant
            299  122 0009E6E0 NtCreateNamedPipeFile
            300  123 0009E700 NtCreatePagingFile
            301  124 0009E720 NtCreatePartition
            302  125 0009E740 NtCreatePort
            303  126 0009E760 NtCreatePrivateNamespace
            304  127 0009E780 NtCreateProcess
            305  128 0009D9F0 NtCreateProcessEx
            306  129 0009E7A0 NtCreateProfile
            307  12A 0009E7C0 NtCreateProfileEx
            308  12B 0009E7E0 NtCreateRegistryTransaction
            309  12C 0009E800 NtCreateResourceManager
            310  12D 0009D990 NtCreateSection
            311  12E 0009E820 NtCreateSectionEx
            312  12F 0009E840 NtCreateSemaphore
            313  130 0009E860 NtCreateSymbolicLinkObject
            314  131 0009DA10 NtCreateThread
            315  132 0009E880 NtCreateThreadEx
            316  133 0009E8A0 NtCreateTimer
            317  134 0009E8C0 NtCreateTimer2
            318  135 0009E8E0 NtCreateToken
            319  136 0009E900 NtCreateTokenEx
            320  137 0009E920 NtCreateTransaction
            321  138 0009E940 NtCreateTransactionManager
            322  139 0009E960 NtCreateUserProcess
            323  13A 0009E980 NtCreateWaitCompletionPacket
            324  13B 0009E9A0 NtCreateWaitablePort
            325  13C 0009E9C0 NtCreateWnfStateName
            326  13D 0009E9E0 NtCreateWorkerFactory
            327  13E 0009EA00 NtDebugActiveProcess
            328  13F 0009EA20 NtDebugContinue
            329  140 0009D6D0 NtDelayExecution
            330  141 0009EA40 NtDeleteAtom
            331  142 0009EA60 NtDeleteBootEntry
            332  143 0009EA80 NtDeleteDriverEntry
            333  144 0009EAA0 NtDeleteFile
            334  145 0009EAC0 NtDeleteKey
            335  146 0009EAE0 NtDeleteObjectAuditAlarm
            336  147 0009EB00 NtDeletePrivateNamespace
            337  148 0009EB20 NtDeleteValueKey
            338  149 0009EB40 NtDeleteWnfStateData
            339  14A 0009EB60 NtDeleteWnfStateName
            340  14B 0009D130 NtDeviceIoControlFile
            341  14C 0009EB80 NtDirectGraphicsCall
            342  14D 0009EBA0 NtDisableLastKnownGood
